Model,term,estimate,abs_estimate
M1: Structural,number_of_bathrooms,1.0580258339527606,1.0580258339527606
M1: Structural,total_livable_area,1.0556816623603957,1.0556816623603957
M1: Structural,number_of_bedrooms,-0.2621710127769695,0.2621710127769695
M1: Structural,age2,-0.06853785727250014,0.06853785727250014
M1: Structural,age,0.0012860701626789361,0.0012860701626789361
M2: +Census,number_of_bathrooms,0.6588288436648684,0.6588288436648684
M2: +Census,total_livable_area,0.5583958291081882,0.5583958291081882
M2: +Census,per_cap_incomeE,0.5414229516240563,0.5414229516240563
M2: +Census,age2,-0.044139992221436636,0.044139992221436636
M2: +Census,number_of_bedrooms,-0.0096775906876493175,0.0096775906876493175
M2: +Census,PCTPOVERTY,-0.004951729824622001,0.004951729824622001
M2: +Census,age,2.1815629533768544e-4,2.1815629533768544e-4
M2: +Census,median_incomeE,1.621800812576928e-6,1.621800812576928e-6
M3: +Spatial,number_of_bathrooms,0.6535070818141091,0.6535070818141091
M3: +Spatial,per_cap_incomeE,0.5841673070377519,0.5841673070377519
M3: +Spatial,total_livable_area,0.5665089859855901,0.5665089859855901
M3: +Spatial,age2,-0.06886470618075853,0.06886470618075853
M3: +Spatial,number_of_bedrooms,-0.0056770820790810524,0.0056770820790810524
M3: +Spatial,PCTPOVERTY,-0.0019532773975211282,0.0019532773975211282
M3: +Spatial,age,0.0017747027869401105,0.0017747027869401105
M3: +Spatial,dist_to_center,5.62655498302173e-6,5.62655498302173e-6
M3: +Spatial,x_coord,2.4264678386250667e-6,2.4264678386250667e-6
M3: +Spatial,y_coord,-1.7658811595337892e-6,1.7658811595337892e-6
M4: +Interact+FE,census_tract7,0.8798516739729205,0.8798516739729205
M4: +Interact+FE,census_tract180,0.7241018035251514,0.7241018035251514
M4: +Interact+FE,zip_code19103,0.635407603786766,0.635407603786766
M4: +Interact+FE,zip_code19106,0.6347160036980336,0.6347160036980336
M4: +Interact+FE,census_tract179,0.6128981558437416,0.6128981558437416
M4: +Interact+FE,census_tract197,0.5974385190148658,0.5974385190148658
M4: +Interact+FE,number_of_bathrooms,0.5768332061780171,0.5768332061780171
M4: +Interact+FE,census_tract14,0.5449804130849789,0.5449804130849789
M4: +Interact+FE,census_tract379,0.543647453784481,0.543647453784481
M4: +Interact+FE,census_tract13,0.5430306282453737,0.5430306282453737
